"dateTime","countts"
2016081006,0
2016081007,1
2016081008,0
2016081009,1
2016081010,0
2016081011,1
2016081012,5
2016081013,3
2016081014,5
2016081015,9
2016081016,4
2016081017,3
2016081018,8
2016081019,2
2016081020,3
2016081021,2
2016081022,1
2016081023,7
2016081112,2
2016081113,22
2016081114,18
2016081115,8
2016081116,8
2016081117,9
2016081118,5
2016081119,2
2016081120,17
2016081121,20
2016081122,14
2016081123,27
2016081200,47
2016081201,39
2016081202,14
2016081203,10
2016081204,6
2016081205,3
2016081212,14
2016081213,4
2016081214,5
2016081215,6
2016081216,6
2016081217,8
2016081218,4
2016081219,3
2016081220,18
2016081221,47
2016081222,46
2016081223,36
2016081300,11
2016081301,9
2016081302,2
2016081303,4
2016081304,1
2016081305,0
2016081618,5
2016081619,6
2016081620,3
2016081621,4
2016081622,3
2016081623,5
2016081700,6
2016081701,11
2016081702,3
2016081703,3
2016081704,2
2016081705,5
2016081706,5
2016081707,1
2016081708,2
2016081709,11
2016081710,4
2016081711,4
2017061112,3
2017061113,1
2017061114,0
2017061115,2
2017061116,1
2017061117,2
2017061118,1
2017061119,5
2017061120,8
2017061121,3
2017061122,5
2017061123,3
2017061200,5
2017061201,2
2017061202,2
2017061203,0
2017061204,1
2017061205,2
2017061912,2
2017061913,6
2017061914,5
2017061915,3
2017061916,1
2017061917,4
2017061918,3
2017061919,5
2017061920,10
2017061921,32
2017061922,15
2017061923,12
2017062000,10
2017062001,4
2017062002,4
2017062003,4
2017062004,4
2017062005,0
2017062712,4
2017062713,2
2017062714,3
2017062715,2
2017062716,4
2017062717,3
2017062718,4
2017062719,5
2017062720,10
2017062721,5
2017062722,17
2017062723,7
2017062800,1
2017062801,1
2017062802,2
2017062803,1
2017062804,2
2017062805,0
2017063012,3
2017063013,2
2017063014,2
2017063015,2
2017063016,1
2017063017,4
2017063018,0
2017063019,2
2017063020,2
2017063021,13
2017063022,46
2017063023,28
2017070100,12
2017070101,7
2017070102,4
2017070103,5
2017070104,2
2017070105,2
2017071312,3
2017071313,7
2017071314,8
2017071315,3
2017071316,2
2017071317,6
2017071318,10
2017071319,53
2017071320,20
2017071321,18
2017071322,19
2017071323,11
2017071400,10
2017071401,5
2017071402,2
2017071403,0
2017071404,0
2017071405,4
2017071912,3
2017071913,2
2017071914,4
2017071915,5
2017071916,3
2017071917,5
2017071918,0
2017071919,1
2017071920,3
2017071921,4
2017071922,9
2017071923,2
2017072000,6
2017072001,3
2017072002,2
2017072003,0
2017072004,2
2017072005,6
2017072006,1
2017072007,1
2017072008,0
2017072009,1
2017072010,3
2017072011,2
2017072012,0
2017072013,3
2017072014,2
2017072015,2
2017072016,1
2017072017,5
2017072018,0
2017072019,0
2017072020,3
2017072021,5
2017072022,3
2017072023,9
2018050312,2
2018050313,2
2018050314,3
2018050315,1
2018050316,4
2018050317,5
2018050318,3
2018050319,8
2018050320,2
2018050321,4
2018050322,3
2018050323,33
2018050400,2
2018050401,4
2018050402,0
2018050403,1
2018050404,0
2018050405,0
2018061812,5
2018061813,7
2018061814,2
2018061815,3
2018061816,2
2018061817,5
2018061818,2
2018061819,3
2018061820,3
2018061821,6
2018061822,3
2018061823,10
2018061900,14
2018061901,11
2018061902,6
2018061903,0
2018061904,3
2018061905,3
2018062412,5
2018062413,3
2018062414,2
2018062415,3
2018062416,0
2018062417,4
2018062418,1
2018062419,2
2018062420,1
2018062421,13
2018062422,12
2018062423,10
2018062500,7
2018062501,3
2018062502,4
2018062503,1
2018062504,2
2018062505,1
2018070606,2
2018070607,0
2018070608,1
2018070609,3
2018070610,0
2018070611,8
2018070612,5
2018070613,4
2018070614,16
2018070615,12
2018070616,10
2018070617,9
2018070618,5
2018070619,5
2018070620,4
2018070621,6
2018070622,2
2018070623,6
2018071712,3
2018071713,5
2018071714,2
2018071715,2
2018071716,6
2018071717,9
2018071718,34
2018071719,51
2018071720,41
2018071721,23
2018071722,16
2018071723,14
2018071800,8
2018071801,10
2018071802,7
2018071803,5
2018071804,4
2018071805,4
2018072712,6
2018072713,3
2018072714,7
2018072715,4
2018072716,3
2018072717,1
2018072718,3
2018072719,4
2018072720,14
2018072721,4
2018072722,0
2018072723,1
2018072800,2
2018072801,2
2018072802,3
2018072803,5
2018072804,3
2018072805,1
2018080212,0
2018080213,5
2018080214,7
2018080215,3
2018080216,4
2018080217,3
2018080218,2
2018080219,8
2018080220,15
2018080221,17
2018080222,7
2018080223,10
2018080300,3
2018080301,3
2018080302,5
2018080303,1
2018080304,1
2018080305,4
2018080406,4
2018080407,1
2018080408,2
2018080409,3
2018080410,9
2018080411,11
2018080412,21
2018080413,14
2018080414,19
2018080415,8
2018080416,12
2018080417,5
2018080418,5
2018080419,4
2018080420,1
2018080421,2
2018080422,5
2018080423,5
2018080712,4
2018080713,6
2018080714,0
2018080715,1
2018080716,2
2018080717,4
2018080718,4
2018080719,9
2018080720,7
2018080721,12
2018080722,7
2018080723,8
2018080800,4
2018080801,3
2018080802,8
2018080803,3
2018080804,1
2018080805,0
2018080818,1
2018080819,4
2018080820,3
2018080821,21
2018080822,13
2018080823,7
2018080900,9
2018080901,2
2018080902,9
2018080903,0
2018080904,10
2018080905,8
2018080906,9
2018080907,5
2018080908,4
2018080909,4
2018080910,11
2018080911,9
2018081406,4
2018081407,1
2018081408,2
2018081409,6
2018081410,6
2018081411,9
2018081412,8
2018081413,3
2018081414,7
2018081415,6
2018081416,8
2018081417,6
2018081418,1
2018081419,2
2018081420,5
2018081421,5
2018081422,9
2018081423,5
2018081718,1
2018081719,1
2018081720,5
2018081721,3
2018081722,6
2018081723,6
2018081800,4
2018081801,3
2018081802,29
2018081803,8
2018081804,10
2018081805,9
2018081806,6
2018081807,5
2018081808,0
2018081809,1
2018081810,2
2018081811,7
2018081812,8
2018081813,8
2018081814,5
2018081815,3
2018081816,4
2018081817,6
2018081818,7
2018081819,18
2018081820,19
2018081821,15
2018081822,18
2018081823,6
2018081900,3
2018081901,4
2018081902,4
2018081903,1
2018081904,1
2018081905,4
2018090612,3
2018090613,6
2018090614,2
2018090615,1
2018090616,2
2018090617,2
2018090618,1
2018090619,28
2018090620,83
2018090621,68
2018090622,30
2018090623,16
2018090700,22
2018090701,12
2018090702,6
2018090703,9
2018090704,3
2018090705,3
2018091212,2
2018091213,6
2018091214,3
2018091215,5
2018091216,14
2018091217,5
2018091218,13
2018091219,9
2018091220,6
2018091221,5
2018091222,9
2018091223,4
2018091300,2
2018091301,3
2018091302,3
2018091303,6
2018091304,2
2018091305,4
2018091806,1
2018091807,1
2018091808,3
2018091809,2
2018091810,5
2018091811,7
2018091812,10
2018091813,7
2018091814,8
2018091815,5
2018091816,16
2018091817,7
2018091818,13
2018091819,4
2018091820,4
2018091821,8
2018091822,5
2018091823,6
